vineyard_field_id,smoke_days,smoke_density_weighted_days,max_density_weight,area_ha,ha_smoke_days
VYD_00040,7,13,3,0.2578040154396805,1.8046281080777635
VYD_00041,7,16,3,0.4241790982042438,2.9692536874297066
VYD_00042,7,16,3,1.6009068381968194,11.206347867377737
VYD_00043,7,16,3,5.221259139084544,36.548813973591805
VYD_00044,7,16,3,0.049746123987645885,0.3482228679135212
VYD_00045,7,16,3,0.5588611038409188,3.9120277268864316
VYD_00046,7,16,3,0.16790412004381888,1.1753288403067321
VYD_00047,7,16,3,0.20441651418480744,1.4309155992936522
VYD_00048,7,16,3,2.34892747437903,16.44249232065321
VYD_00049,7,16,3,0.10029403631069157,0.702058254174841
VYD_00050,7,16,3,2.0676743901336057,14.47372073093524
VYD_00051,7,16,3,1.5102882422032151,10.572017695422506
VYD_00052,7,16,3,0.607020433238956,4.249143032672692
VYD_00053,7,16,3,0.7722027582294497,5.405419307606148
VYD_00054,7,16,3,0.04064047731744923,0.2844833412221446
VYD_00055,7,15,3,0.07926243633153757,0.554837054320763
VYD_00056,7,16,3,0.4791571565473684,3.354100095831579
VYD_00057,7,16,3,0.32968446809876906,2.3077912766913835
VYD_00058,7,16,3,0.12583334158486703,0.8808333910940692
VYD_00059,7,16,3,0.8219288258493122,5.753501780945185
VYD_00060,7,16,3,0.7252498003383564,5.076748602368495
VYD_00061,7,16,3,0.14728463775976566,1.0309924643183597
VYD_00062,7,16,3,2.900628956890575,20.304402698234025
VYD_00063,7,16,3,0.025827657812060336,0.18079360468442235
VYD_00064,7,16,3,0.808686474163665,5.6608053191456555
VYD_00065,7,16,3,0.13455379916264937,0.9418765941385456
VYD_00066,7,16,3,0.7869103996279541,5.508372797395678
VYD_00067,7,16,3,2.5787131148970044,18.05099180427903
VYD_00068,7,16,3,1.3159374065144396,9.211561845601077
VYD_00069,7,15,3,0.1563032567949481,1.0941227975646368
VYD_00070,7,15,3,1.5942566959542241,11.15979687167957
VYD_00071,7,15,3,6.784134881498995,47.488944170492964
VYD_00072,7,15,3,0.3124336805846575,2.1870357640926024
VYD_00073,7,16,3,0.28374895699826463,1.9862426989878523
VYD_00074,7,16,3,0.3061629741187651,2.1431408188313554
VYD_00075,7,19,3,0.0770229066566178,0.5391603465963246
VYD_00076,8,21,3,0.5413378008385623,4.3307024067084985
VYD_00077,8,20,3,0.3676571650886951,2.941257320709561
VYD_00078,8,20,3,0.43831122955961743,3.5064898364769395
VYD_00079,8,18,3,0.46993828689875955,3.7595062951900764
VYD_00080,7,16,3,0.5899253384272877,4.129477368991013
