vineyard_field_id,NDVI_2015,NDVI_2016,NDVI_2017,NDVI_2018,NDVI_2019,NDVI_2020,NDVI_2021,area_ha,in_perimeter,recov_2020_ratio,recov_2021_ratio,drop_2019_2020,drop_2019_2021
VYD_00011,0.40387960355373265,0.3276997405508796,0.3082226227263766,0.3026122520212648,0.2996926800240248,0.2907582998506176,0.2865397463916748,2.322014067453328,0,0.9701881935431622,0.9561119289557034,-0.008934380173407253,-0.013152933632350039
VYD_00012,0.2805102453479362,0.29987193244478494,0.28613034196884124,0.2673014906737617,0.34001837889254644,0.30236670747363703,0.28667073774870155,2.5549712958838913,0,0.8892657757455864,0.8431036542271618,-0.037651671418909405,-0.05334764114384488
VYD_00013,0.531920227997559,0.4814942024395069,0.5027203852506122,0.485007734830775,0.5203761202267154,0.483350783252675,0.44759450088370206,0.9914111032401257,0,0.928848893070056,0.8601365118151384,-0.037025336974040424,-0.07278161934301336
VYD_00014,0.5632349603189328,0.4625916565654884,0.4805980091366696,0.4639811083604562,0.47030744732747387,0.45017355471176157,0.4171443749505007,2.293538030106458,0,0.9571899345202307,0.8869610237322995,-0.0201338926157123,-0.05316307237697315
VYD_00015,0.5200928931266455,0.46222166660096276,0.4082718949909137,0.4360717398751255,0.4304973620848398,0.4186906057841118,0.3822473326810969,0.5118041288885397,0,0.9725741494824742,0.8879202669905465,-0.011806756300727972,-0.0482500294037429
VYD_00016,0.5345208377460262,0.4444891900707979,0.42113918945020745,0.4222695976692486,0.4142688022982824,0.4374688591580311,0.3691751331267997,2.406220811625472,0,1.05600242338076,0.8911487688155328,0.023200056859748686,-0.045093669171482664
VYD_00017,0.49046961263316075,0.3637654424981075,0.3631929745519064,0.36237597187807447,0.3589346781606,0.3486930057546211,0.34607716401418054,0.1953970893874457,0,0.9714664727898027,0.9641786794959206,-0.010241672405978897,-0.012857514146419446
VYD_00018,0.5674451654016707,0.4941882282665224,0.509146648767351,0.4962097428702926,0.5177502305516212,0.490058846575277,0.4545152527864562,0.5796589820298786,0,0.9465159408102218,0.877865862661629,-0.027691383976344186,-0.06323497776516496
VYD_00019,0.44661828982638385,0.37767512021660266,0.3988522764038256,0.3848285488472158,0.383826214845271,0.38060590297834396,0.3606242881578356,3.585653534849885,0,0.9916099741435711,0.9395509587671372,-0.0032203118669270614,-0.023201926687435426
VYD_00020,0.5373813160893854,0.5352653296105543,0.45770762221513095,0.47542452936971824,0.4631314149604335,0.4564643888018996,0.4164322939322262,2.272130698828983,0,0.9856044614051858,0.8991665874529438,-0.006667026158533873,-0.04669912102820728
VYD_00021,0.3867605054202949,0.35700503412506124,0.3594290594764779,0.3773246698303097,0.40639473722912556,0.3554795638884281,0.379492167875046,0.42428925315348925,0,0.8747149786243629,0.9338018756406488,-0.05091517334069745,-0.02690256935407953
VYD_00022,0.5309473385719442,0.5988564507194019,0.5981364803895646,0.49340335122824175,0.5997761227588547,0.5616381934309516,0.45774812854962266,0.19451575344343391,0,0.9364130583383746,0.7631983188061395,-0.038137929327903164,-0.14202799420923207
VYD_00023,0.4605948652757409,0.543347490559861,0.529469583966643,0.5474736054660295,0.59754040444998,0.5681230733811504,0.4910630177421045,0.06243907574592356,0,0.9507693022099359,0.8218072185329708,-0.0294173310688296,-0.10647738670787554
VYD_00024,0.3120203512020348,0.3293534725358321,0.35264265479434964,0.36173128974639035,0.4462520807735192,0.4295470599771789,0.33750546677289067,0.34091962481112176,0,0.9625659542754751,0.7563112449534564,-0.016705020796340286,-0.10874661400062852
VYD_00025,0.3113397881159754,0.33960790226950877,0.3775208397602821,0.3764626816733692,0.41939319328299546,0.3964325141500925,0.3847408268710122,0.9956941388799043,0,0.9452526185435497,0.9173749908988132,-0.02296067913290295,-0.03465236641198327
VYD_00026,0.3404980701748375,0.4183533390179063,0.36367690204641284,0.35431856470870254,0.4179004829817392,0.3829899816028941,0.32900033063684153,1.6191402149176364,0,0.9164621655142462,0.7872695630534069,-0.034910501378845105,-0.08890015234489768
