seg_id,signed_dist_m,vineyard,x,y,dnbr,elev_m,slope_deg,northness,eastness
4,-30.0,0,509756.26069898787,4283046.949839331,0.015968360006809235,61.9317626953125,2.17802357673645,0.7967968583106995,0.03063804656267166
4,0.0,1,509783.899425861,4283035.2836155705,0.1384563446044922,62.284942626953125,0.9615573287010193,0.802918016910553,-0.44438430666923523
4,30.0,1,509811.53815273417,4283023.61739181,0.11735709011554718,62.35163879394531,0.49941393733024597,0.9280548691749573,-0.31959986686706543
4,60.0,1,509839.1768796073,4283011.951168049,0.15383872389793396,62.64329528808594,0.7067019939422607,0.7965213060379028,-0.5588645935058594
4,100.0,1,509876.02851543814,4282996.3962030355,0.08316110074520111,63.10575866699219,2.0363099575042725,0.21557112038135529,-0.24975286424160004
4,150.0,1,509922.0930602267,4282976.952496768,0.06540602445602417,63.59608840942383,3.094005584716797,0.47283488512039185,-0.19452090561389923
4,300.0,1,510060.28669459245,4282918.6213779645,0.27660951018333435,64.26526641845703,2.181598424911499,0.39546096324920654,0.2986033260822296
5,-300.0,0,509630.02238826494,4282851.147387605,0.005720674991607666,88.07518768310547,16.986629486083984,0.8252266645431519,0.4516420066356659
5,-150.0,0,509764.61326446116,4282917.368955427,-0.013230226933956146,70.73888397216797,2.2095420360565186,-0.08318080008029938,0.3940633237361908
5,-100.0,0,509809.4768898599,4282939.442811367,-0.0378611758351326,70.32238006591797,2.284834146499634,-0.3962101936340332,0.1362096518278122
5,-60.0,0,509845.3677901789,4282957.10189612,0.10249313712120056,63.50261306762695,3.914391040802002,0.8617655038833618,-0.19685165584087372
5,-30.0,0,509872.28596541815,4282970.346209684,0.10614590346813202,63.568077087402344,1.117301106452942,0.8753395676612854,-0.3518088459968567
5,0.0,1,509899.2041406574,4282983.590523249,-0.009227067232131958,63.32601547241211,1.8906404972076416,0.6237184405326843,0.07309772819280624
5,30.0,1,509926.1223158966,4282996.834836813,0.09993813931941986,63.22417449951172,1.0700560808181763,0.14971378445625305,-0.8973450064659119
5,60.0,1,509953.04049113585,4283010.079150377,0.12896907329559326,63.51970291137695,0.7530838251113892,0.2882923483848572,-0.8211795091629028
5,100.0,1,509988.9313914549,4283027.73823513,0.16532832384109497,63.37309646606445,1.1880258321762085,0.9775212407112122,0.12435873597860336
5,150.0,1,510033.7950168536,4283049.81209107,0.13340404629707336,63.13534164428711,0.9537646770477295,0.7690916061401367,-0.12809830904006958
5,300.0,1,510168.3858930498,4283116.033658892,0.3620569407939911,61.527870178222656,0.9820608496665955,0.8937487006187439,0.14890256524085999
6,-300.0,0,509741.45582146646,4283116.524731236,0.03441685438156128,61.706295013427734,5.345529556274414,-0.04800620302557945,-0.013990962877869606
6,-150.0,0,509891.28534288943,4283109.375289989,0.1453283429145813,62.161155700683594,0.9736921191215515,0.9496287107467651,-0.21752405166625977
6,-100.0,0,509941.2285166971,4283106.9921429055,0.19256700575351715,62.17091369628906,0.7704454064369202,0.930773138999939,-0.33582282066345215
6,-60.0,0,509981.1830557433,4283105.08562524,0.16832923889160156,62.347862243652344,0.7811234593391418,0.9657112956047058,-0.19665531814098358
6,-30.0,0,510011.14896002784,4283103.65573699,0.15280377864837646,62.39649200439453,0.5930746793746948,0.9759880304336548,-0.16622257232666016
6,0.0,1,510041.11486431246,4283102.225848741,0.1775418072938919,62.37437057495117,0.7981763482093811,0.521110475063324,0.17078574001789093
6,30.0,1,510071.0807685971,4283100.7959604915,0.27984628081321716,62.223995208740234,1.0194644927978516,0.629148006439209,0.5696702003479004
6,60.0,1,510101.04667288164,4283099.366072242,0.3724397122859955,61.82548522949219,0.9241382479667664,0.7948725819587708,0.5680976510047913
6,100.0,1,510141.0012119278,4283097.459554576,0.36464712023735046,61.55714416503906,0.9714626669883728,0.935186505317688,0.22400909662246704
6,150.0,1,510190.9443857355,4283095.076407493,0.39557766914367676,61.553253173828125,1.092081904411316,0.5330073237419128,0.8136062026023865
6,300.0,1,510340.77390715847,4283087.926966246,0.2475363165140152,59.8517951965332,1.3129346370697021,0.9599072337150574,0.26025673747062683
