feature,x_val,partial_effect,ci_lo,ci_hi
x_norm,-0.21184387477030375,-0.019146422028674635,-0.027366796054843143,-0.010926048002506128
x_norm,-0.1641442811525584,-0.023204414800419897,-0.03126774303377117,-0.015141086567068624
x_norm,-0.11644468753481307,-0.026975418958263064,-0.03504340267478633,-0.018907435241739795
x_norm,-0.06874509391706773,-0.029757888434908102,-0.03799322547932531,-0.021522551390490897
x_norm,-0.021045500299322395,-0.030850277163058874,-0.039262820914850775,-0.022437733411266973
x_norm,0.026654093318422944,-0.029602454622506904,-0.03801786423830901,-0.021187045006704798
x_norm,0.07435368693616828,-0.02617064031801877,-0.03444198462760981,-0.017899296008427726
x_norm,0.12205328055391362,-0.02135128014669594,-0.029523833467546074,-0.013178726825845807
x_norm,0.16975287417165896,-0.015958455538290887,-0.024200599087555633,-0.0077163119890261405
x_norm,0.2174524677894043,-0.010806247922556272,-0.019245231971406,-0.0023672638737065477
x_norm,0.26515206140714964,-0.006708738729244515,-0.015297367732586869,0.0018798902740978377
x_norm,0.312851655024895,-0.004396375650629899,-0.012925951238544182,0.0041331999372843835
x_norm,0.3605512486426403,-0.003906325711277977,-0.012258617668867267,0.004445966246311312
x_norm,0.40825084226038566,-0.004932960393654883,-0.013197308922603216,0.0033313881352934494
x_norm,0.455950435878131,-0.0071682148765405415,-0.015537812534613334,0.001201382781532252
x_norm,0.5036500294958763,-0.01030402433871481,-0.018894462720215492,-0.0017135859572141258
x_norm,0.5513496231136217,-0.014032323958957617,-0.022759427156008857,-0.005305220761906376
x_norm,0.599049216731367,-0.018061957000342795,-0.026701667677259833,-0.009422246323425757
x_norm,0.6467488103491124,-0.022182480537515908,-0.030654412852483194,-0.01371054822254862
x_norm,0.6944484039668577,-0.026207509339279116,-0.034644128129293655,-0.017770890549264576
x_norm,0.742147997584603,-0.029950662302384683,-0.038561817511064335,-0.02133950709370503
x_norm,0.7898475912023484,-0.03322555832358503,-0.04210606564652023,-0.024345051000649827
x_norm,0.8375471848200937,-0.03584585934654767,-0.044871082617509675,-0.026820636075585675
x_norm,0.885246778437839,-0.03766196247623314,-0.046601193720343395,-0.02872273123212289
x_norm,0.9329463720555844,-0.03862794331295731,-0.04743013855375736,-0.02982574807215726
x_norm,0.9806459656733297,-0.03871603787440295,-0.04752945480553303,-0.02990262094327287
x_norm,1.028345559291075,-0.037898482178252806,-0.046915436375925795,-0.028881527980579812
x_norm,1.0760451529088204,-0.03614751224218964,-0.045419786646722186,-0.0268752378376571
x_norm,1.1237447465265658,-0.0334372854003628,-0.042801157800873346,-0.024073412999852255
x_norm,1.171444340144311,-0.029897939142944942,-0.039145604527422946,-0.02065027375846694
x_norm,1.2191439337620564,-0.025928241743200842,-0.03506675391944088,-0.01678972956696081
x_norm,1.2668435273798018,-0.021953521753229475,-0.03117027521823458,-0.01273676828822437
x_norm,1.314543120997547,-0.018399107725129694,-0.027877431778750968,-0.008920783671508418
x_norm,1.362242714615292,-0.01569032821100039,-0.02543040378263453,-0.005950252639366249
x_norm,1.4099423082330373,-0.014237872733630379,-0.02401988135100517,-0.004455864116255589
x_norm,1.4576419018507827,-0.014064239212404323,-0.023704543793457336,-0.004423934631351311
x_norm,1.5053414954685285,-0.014772768985289352,-0.024364046489896755,-0.005181491480681951
x_norm,1.5530410890862734,-0.01594595992859821,-0.025765994037199078,-0.006125925819997345
x_norm,1.6007406827040191,-0.01716630991864367,-0.027456950880699674,-0.006875668956587663
x_norm,1.648440276321764,-0.01801631683173845,-0.028819329162844392,-0.007213304500632508
x_norm,1.6961398699395098,-0.018097083472616446,-0.02928469552756375,-0.006909471417669143
x_norm,1.7438394635572547,-0.017242141458773737,-0.02875680638461995,-0.0057274765329275255
x_norm,1.7915390571750005,-0.015443017528625952,-0.027367466745919552,-0.003518568311332352
x_norm,1.8392386507927454,-0.012694257702736817,-0.02508971903504858,-0.0002987963704250574
x_norm,1.8869382444104912,-0.008990408001669803,-0.021724765039894754,0.003743949036555146
x_norm,1.934637838028236,-0.004326014445988808,-0.017031044064049684,0.008379015172072067
x_norm,1.9823374316459819,0.0012870236407143,-0.011004194822599483,0.013578242104028082
x_norm,2.0300370252637268,0.007717819181027028,-0.0044420493033821,0.019877687665436156
x_norm,2.0777366188814717,0.014785575379060386,0.001428160402619602,0.02814299035550117
x_norm,2.1254362124992174,0.02230932468849447,0.005846016541338098,0.03877263283565084
x_norm,2.1731358061169623,0.030108099563009208,0.008858484949971854,0.051357714176046565
x_norm,2.2208353997347086,0.038000932456284844,0.010786587014746728,0.06521527789782296
y_norm,-2.1834612740122963,-0.07847587754865493,-0.10419678737961346,-0.05275496771769639
y_norm,-2.140964633642211,-0.07990439219358056,-0.09998190633175848,-0.05982687805540264
