vineyard_field_id,NDMI_prefire,NDVI_prefire,ET_gs_mm,awc_0_100cm,awc_0_150cm,area_ha
VYD_02597,0.304342862962143,0.7313669446093504,683.8958415064731,8.4,8.4,4.211717302205949
VYD_02598,0.10851523018288796,0.48765931635798354,358.60351648351656,17.74,26.26,0.6267024243504056
VYD_02599,-0.015608288567370962,0.3769487632084389,387.49064307587616,9.74,9.74,0.8068637960824352
VYD_02600,0.04262983745836564,0.4524647108698024,464.23082035700713,9.74,9.74,2.9014173580193527
VYD_02601,0.04313388565298803,0.49527916764467056,519.7260677466863,5.39,9.39,2.2434818911840146
VYD_02602,-0.14813883640314995,0.24221321495219736,320.6539565866544,6.64,10.14,2.3955688271847486
VYD_02603,0.10327940616408525,0.5357613348202426,595.8123327156682,6.64,10.14,2.6709841403191503
VYD_02604,0.03408270168449913,0.45713648352888914,488.70966658268253,8.4,8.4,3.2714931824040656
VYD_02605,0.046423543210817715,0.5276614609892593,567.0824147322005,16.4,24.9,4.291732015606416
VYD_02606,0.09293267378541507,0.5941089522720454,575.4766315789474,16.08,17.43,0.656953659639986
VYD_02607,0.048482775495958606,0.5396281329811202,608.5871802411056,17.6,26.6,0.9332956237858103
VYD_02608,-0.0846874284141019,0.3569540123110513,357.9665176936039,18.6,27.6,3.7597225595873804
VYD_02609,0.17736408213956115,0.5777679289688538,722.9457472873646,14.97,17.88,2.355793730310745
VYD_02610,-0.02543043029501498,0.3061495126528094,359.9119854446213,15.46,23.2,1.2058236281192087
VYD_02611,0.05510610240678061,0.4247572156414662,494.7620408163265,5.39,9.39,0.6742228163653349
VYD_02612,-0.05067429987581695,0.46302839767530185,486.27312081857525,9.6,9.6,3.497065465802465
VYD_02613,-0.06231700075930895,0.4120408772870219,463.5129554123372,9.6,9.6,2.098472402519001
VYD_02614,-0.0024173243615301203,0.4806207991842122,399.15937011391566,14.88,19.86,2.462796697627483
VYD_02615,-0.025831559419856074,0.3862554169955863,402.6556368960469,18.0,27.0,1.8827528162136986
VYD_02616,0.007280412010177678,0.40009308997103105,478.5224873795319,0.0,0.0,1.2007235120259463
VYD_02617,0.03879960750221397,0.45896618276782775,520.7964409722222,17.74,23.32,0.6346351681781681
VYD_02618,-0.06926291420342912,0.3557830005485656,398.48397592321464,5.39,9.39,1.6924971244810076
VYD_02619,0.05080410796539218,0.4792976502225323,418.09295199182844,17.74,26.26,1.3510815177132591
VYD_02620,0.05555190342563659,0.4781090818300806,474.776923076923,12.01,12.01,1.0376089917017974
VYD_02621,-0.0164204143634214,0.41387291148232536,439.53734756097566,16.08,17.43,1.0844132216461961
VYD_02622,-0.005249152630710851,0.46930893806327295,578.7229593888219,7.61,11.11,0.683504895795629
VYD_02623,-0.029552330152311714,0.3429129598831534,474.6279399088779,17.74,26.26,4.501249163874635
VYD_02624,0.036938695127446554,0.4769879345837453,594.100295333727,6.64,10.14,2.3332372178013028
VYD_02625,-0.05605819354739241,0.36975775701755625,479.796556122449,3.25,3.25,0.8633107106463828
VYD_02626,0.006979382329675993,0.4100899834317032,468.2924437933172,15.93,18.43,4.881908981014435
VYD_02627,-0.008375121585600727,0.41499166012097255,424.4841781874039,13.48,19.98,1.7809608353854258
VYD_02628,0.05963081691282632,0.5072232183531156,554.6836241664337,5.39,9.39,6.88911276802339
VYD_02629,-0.1014240199218897,0.34520082255968687,396.1985074626867,12.01,12.01,0.921449266048372
VYD_02630,0.00369281337807603,0.40905653663921093,371.62806413144295,5.5,8.0,2.076193223671468
VYD_02631,0.03162361787811142,0.4368751216234994,421.2061231755074,20.58,28.78,0.7730628095467017
VYD_02632,-0.020305101995406256,0.3908450930301999,407.0973808860407,11.68,11.68,1.9803676498715554
VYD_02633,0.010956120138735983,0.3345449924857063,490.5174705982615,12.6,17.43,1.613908531667008
VYD_02634,0.030389405289508554,0.4596300100963205,456.94633779781645,6.64,10.14,12.441784586952664
VYD_02635,0.0475194503856754,0.4551828886661455,499.4427436989297,7.61,11.11,2.3900242037635255
VYD_02636,-0.04154313854043964,0.3220738187241878,404.4010682768232,11.68,11.68,1.1893832581874315
VYD_02637,0.08244077565406205,0.5841389672517865,502.5985775719485,13.0,19.5,1.6653056014694034
VYD_02638,-0.05180805567718121,0.32012130598991984,362.4892756278148,15.0,23.0,3.6086639173446007
VYD_02639,0.01886091201808016,0.456065487782172,427.748506967485,10.56,12.56,1.2434086670802436
VYD_02640,0.05393258749858776,0.453928512122432,564.169387755102,16.4,24.9,0.8117906444826272
VYD_02641,0.049313583297137024,0.4362183947936768,595.2608190531512,11.78,11.78,1.8947830558398822
VYD_02642,0.011986038198963557,0.3974900360793813,430.9204181184668,13.59,16.59,3.9503438820856935
VYD_02643,0.09380107308168022,0.5883261232118908,360.8834335337342,18.0,27.0,0.8129748380872807
VYD_02644,0.05868639752265985,0.5048119125237039,503.89422632794475,17.74,26.26,2.3962244625845415
VYD_02645,0.10980178685776214,0.5649941005074337,497.8866808392643,15.0,23.0,2.9745113943491277
VYD_02646,0.10428721011573555,0.5330796260190268,511.72343070229954,11.68,11.68,2.2168072944050166
VYD_02647,0.294736435212064,0.7770091555520628,641.227321067744,20.58,28.78,10.33573116632646
